palabra,tipo,significado
ABASTO,m.,"Provisión de bastimentos, y especialmente de víveres. / Abundancia. 
S. Suministro, provisión, acopio, surtido, copia, profusión, abastecimiento, avío, víveres.
A. Escasez, penuria, inopia, falta, iliquidez, insolvencia, carestía.
C. Al ser la única tienda que vendía los alimentos, no pudieron darse abasto para atender a la clientela que pugnaba por el producto."
ABATIR,v.,"Derribar, derrocar, echar por tierra. / Hacer que algo caiga o descienda. / Inclinar, tumbar, poner tendido lo que estaba vertical. / Humillar. 
S. Hundir, derrocar, derrumbar, tumbar, volcar, demoler, precipitar, devastar.
A. Levantar, instituir, formar, fundar, subir, alzar, encumbrar.
C. A pesar de sus malas  intenciones jamás pudieron abatir mis esperanzas y sueños."
ABDICAR,v.,"Ceder o renunciar a la soberanía de un pueblo. / Ceder o renunciar a derechos, ventajas, etc. / Privar a alguien de un estado favorable, de un derecho, facultad o poder. 
S. Dirimir, resignar, deponer, declinar, desertar, cesar 
A. Oponer, enfrentar, afrontar, encarar, continuar, luchar, lidiar.
C. El emperador se vio obligado a abdicar para así evitar la sublevación del pueblo."
ABERRACIÓN,m.,"Grave error del entendimiento. / Acto o conducta depravados, perversos, o que se apartan de lo aceptado como lícito. / Desviación del tipo normal que en determinados casos experimenta un carácter morfológico o fisiológico. 
S. Tergiversación, error, engaño, yerro, descarrío, extravío, traspié, desliz, caída, errata, dislate, astracanada, gazapo, insensatez.
A. Acierto, caletre, tino, discernimiento, juicio, tacto, contención.
C. Fue calificada de aberración las desacertadas palabras del presidente respecto al proceder de la bancada opositora."
ABEMOLAR,v.,"Poner bemoles. / Suavizar, dulcificar la voz.
S. Afinar, lijar, acordar, calmar, sosegar, moderar, mesurar, aplacar.
A. Amargar, agriar, discordar, disentir.
C. Le recomendaron abemolar su voz si deseaba ser soprano."
ABIGARRADO,adj.,"De varios colores, mal combinados. / Heterogéneo, reunido sin concierto.
S. Confuso, alterado, mezclado, trastornado, impreciso, abigarrado.
A. Preciso, inconfundible, ordenado, cabal.
C. El traje abigarrado del payaso irradiaba gracia y colorido."
ABISAL,adj.,"Abismal. / Se dice de las zonas del mar profundo que se extienden más allá del talud continental, y corresponden a profundidades mayores de 2000 m. 
S. Hondo, insondable, profundo, subterráneo, recóndito, furtivo
A. Alto, elevado, visible, noto, notorio, superficial, patente, evidente, palmario
C. Desde la abisal profundidad del lecho marino se levanta un gran misterio."
ABJURAR,v.,"Retractarse, renegar, a veces públicamente, de una creencia o compromiso que antes se ha profesado o asumido.
S. Renegar, traicionar, detestar, retractar, desdecir
A. Ratificar, afirmar, aseverar, corroborar, reafirmar
C. La inquisición obligó a Galileo a abjurar de sus publicaciones y opiniones."
ABLACIÓN,f.,"Acción y efecto de cortar, separar, quitar. / Separación o extirpación de cualquier parte del cuerpo.
S. Amputación, extirpación, mutilación, extirpación, escisión 
A. Reposición, regeneración, rehechura, rediseño, renovación
C. Gracias a una pequeña ablación le pudieron extraer el furúnculo de la piel."
ABLATIVO,adj.,"Perteneciente o relativo a la ablación. 
S. Cortar, alejar, apartar, dividir, amputar, extirpar. damnificar, afectar, herir, ofender, aislar, desviar.
A. Unir, fusionar, acoplar, articular, adherir, soldar, empalmar, remachar, congelar, unificar
C. Con un procedimiento ablativo el cirujano podrá extraer el tumor maligno.
(1) Caso de la declinación latina y de otras lenguas indoeuropeas, cuya función principal es expresar la procedencia local o temporal, y en latín también las relaciones de situación, tiempo, modo, instrumento, materia, etc., que en español suelen expresarse anteponiendo al nombre alguna preposición."
ABLUCIÓN,f.,"Acción de lavar o lavarse. / Purificarse por medio del agua, según ritos de algunas religiones. / Ceremonia de purificar el cáliz y de lavarse los dedos el sacerdote después de consumir. / Vino y agua con que se hace esta purificación y lavatorio.
S. Lavado, enjuague, aseo, limpieza, pulcritud, aliño, baño, aderezo, ornato, gala
A. Mugre, suciedad, roña, inmundicia, porquería, tizne, bazofia
C. Los musulmanes sólo pueden entrar a la mezquita luego de la ablución respectiva de su cuerpo con agua."
ABNEGAR,v.,"Renunciar voluntariamente a los propios deseos, pasiones o intereses. 
S. Cesar, sacrificar, resignar, ceder, renunciar, dimitir.
A. Luchar, pelear, combatir, guerrear, batallar, reñir, provocar, chocar, lidiar.
C. Sólo las madres pueden abnegar todo para bien de sus hijos"
ABOCAR,v.,"Verter el contenido de un cántaro, costal, etc., en otro. / Acercar, dirigir hacia un lugar armas de fuego, tropas, pertrechos, etc. / Desembocar, ir a parar. 
S. aproximar, adosar, arrimar, aportar, avecinar, allegar, aplicar, confluir, bifurcar, llegar
A. Alejar, apartar, separar, desviar, retirar, rechazar, excluir, ahuyentar.
H. Avocar (autoridad gubernativa o judicial que atrae a sí la resolución de un asunto o causa cuya decisión correspondería a un órgano inferior)
C. El ejército decidió abocar todo su poder a las fronteras."
ABOGAR,v.,"Defender en juicio, por escrito o de palabra. / Interceder, hablar en favor de alguien.
S. Proteger, reguardar, apoyar, ayudar, respaldar, patrocinar, auxiliar.
A. Desamparar, descobijar, dejar, desentenderse, abandonar.
C. Nadie puede abogar por una causa tan injusta."
ABOLENGO,m.,"Ascendencia de abuelos o antepasados. / Ascendencia ilustre. / Lugar de donde se es oriundo. / Patrimonio o herencia que viene de los abuelos o de los antepasados.
S. Linaje, estirpe, casta, rama, ralea, prosapia, raza, cuna, familia.
A. Descendencia, sucesores, legatarios.
C. Por esta sangre corre la esencia de mi abolengo español."
ABOLIR,v.,"Derogar, dejar sin vigencia una ley, precepto, costumbre, etc.
S. Invalidar, prohibir, inhabilitar, proscribir, neutralizar, revocar, extinguir.
A. Aprobar, validar, autorizar, admitir, certificar, visar, ratificar, legalizar.
C. El compromiso de profesionalizar las Fuerzas Armadas y abolir el servicio militar obligatorio va a ser un hueso duro de roer para el Gobierno."
ABOMINAR,v.,"Condenar y maldecir a personas o cosas por considerarlas malas o perjudiciales. / Tener odio a alguien o a algo, aborrecer.
S. Detestar, aborrecer, execrar, repugnar, repeler.
A. Apreciar, estimar, apegar, simpatizar, amar.
C. El sacerdote declaró que debemos abominar las tentaciones del demonio"
ABONAR,v.,"Acreditar o calificar de bueno. / Salir por fiador de alguien, responder por él. / Hacer bueno o útil algo, mejorarlo de condición o estado. / Dar por cierto y seguro algo. / Echar en la tierra laborable materias que aumenten su fertilidad. / Pagar. / Inscribir a alguien, mediante pago, para que pueda concurrir a alguna diversión, disfrutar de alguna comodidad o recibir algún servicio periódicamente o determinado número de veces.
S. Avalar, confirmar, responder, respaldar, afianzar, certificar, costear, amortizar.
A. Adeudar, deber, gravar, obligar, comprometerse, empobrecer,  empeorar, arruinar, desolar.
C. Los socios deberán abonar 1.300 pesetas, los jóvenes 500 y el resto 1800 pesetas."
ABORDAR,v.,"Dicho de una embarcación: Llegar a otra, chocar o tocar con ella. / Dicho de un pasajero: Subir a un medio de transporte. / Acercarse a alguien para hacerle una pregunta, iniciar un diálogo o tratar algún asunto. / Emprender o plantear un negocio o asunto. 
S. Palpar, lograr, arribar, anclar, venir, entrar, abordar
A. Desabordar, alejar, distanciar, separar, ahuyentar, regir, aislar.
C. Carlos no pudo abordar el tema, así que se vio obligado a cambiar de asunto."
ABORREGARSE,v.,"Dicho del cielo: Cubrirse de nubes blanquecinas y revueltas a modo de vellones de lana. / Dicho de una persona: Adquirir rasgos atribuidos al borrego, especialmente mansedumbre, gregarismo, etc.
S. Nublarse, cubrirse, oscurecerse, cargarse, juntarse, aunarse, aglomerarse, agruparse, apiñarse, adocenarse.
A. Despejarse, quitarse, desembragarse. individualizarse, particularizarse, separarse.
C. Luego de aborregarse el cielo, empezaron las lluvias."
ABOTAGARSE,v.,"Hincharse, inflarse el cuerpo o parte del cuerpo de un animal, o el de una persona, generalmente por enfermedad.
S. Hincharse, inflarse, engordarse, congestionarse, inflamarse, acorcharse.
A. Adelgazarse, secarse, demacrarse, desnutrirse, descarnarse, consumirse.
C. El forense aclaró que el hinchado cuerpo debió abotagarse de ese modo debido al largo periodo que permaneció bajo el agua."
ABRASADOR,adj.,"Que abrasa (que quema)
S. Ardiente, ígneo, tórrido, flamígero, calcinador, llameante
A. Gélido, álgido, glacial, helado, frígido, algente.
H. Abrazador (que abraza).
C. El clima abrasador de la costa tostó la piel de los turistas."
ABREBOCA,m.,"aperitivo.
S. tónico, estimulante, reconstituyente, canapé.
C. Los invitados probaron un exquisito abreboca antes de pasar a disfrutar del almuerzo."
ABREVAR,v.,"Dar de beber principalmente al ganado. / Remojar las pieles para adobarlas. / Hablando de personas, dar de beber, especialmente un brebaje. / saciar.
S. Remojar, mojar, regar, refrescar, hartar, atiborrar.
A. Secar, desecar, enjugar, escurrir, resecar.
C. Una vez que el ganado pudo abrevar en la fuente con agua pudimos continuar nuestro camino."
ABROGAR,v.,"Abolir, revocar una ley, un código.
S. Derogar, rescindir, revocar, invalidar.
A. Rehabilitar, redimir, reponer, restituir.
C. Se consideró abrogar la ley pues carecía de todo valor judicial."
ABRUMAR,v.,"Agobiar con algún grave peso. / Causar a alguien encogimiento o empacho prodigándole alabanzas, atenciones, reconvenciones, burlas, etc.
S. Molestar, fastidiar, enojar, agobiar.
A. Aligerar, confortar, desembarazar.
C. Los trabajadores optaron por abrumar al jefe con cientos de halagos"
ABSCESO,m.,"Acumulación de pus en los tejidos orgánicos internos o externos.
S. Tumor, bubón, furúnculo, purulencia, flemón, grano, divieso.
C. Un enorme absceso bloqueaba la entrada de sangre por las arterias del paciente."
ABSCISIÓN,f.,"Separación de una parte pequeña de un cuerpo cualquiera, hecha con un instrumento cortante. / Interrupción o renunciación.
S. Amputación, extirpación, corte, separación, división, disociación, paralización, estorbo, dificultad, dejación, cesión, resigna, deserción.
A. Reposición, regeneración, renovación, rehechura, recomposición.
C. Una leve abscisión sobre la piel extirpará ese lunar cancerígeno."
ABSOLUCIÓN,f.,"Acción de absolver (dar por libre de algún cargo u obligación).
S. Indulto, perdón, indulgencia, perdón, amnistía, remisión
A. Reprobación, reprensión, condena, censura, crítica.
C. Para la absolución de la condena, el abogado presentó nuevas pruebas que demostraban la inocencia de su cliente."
ABSORBER,v.,"Dicho de una sustancia sólida: Ejercer atracción sobre un fluido con el que está en contacto, de modo que las moléculas de este penetren en aquella. / Dicho de un tejido orgánico o de una célula: Recibir o aspirar materias externas a ellos, ya disueltas, ya aeriformes. / Consumir enteramente.
S. Impregnar, empapar, calar, humedecer, disipar, extinguir, dilapidar.
A. Secar, desecar, escurrir, resecar, deshumedecer, vaciar.
C. La esponja fue capaz de absorber todo el líquido contenido en el vaso."
ABSORTO,adj.,"Admirado, pasmado. / Entregado totalmente a una meditación, lectura, contemplación, etc.
S. Abstraído, ensimismado, pensativo, preocupado, meditabundo, cogitabundo, concentrado, embelesado, boquiabierto, turbado
A. Distraído, despreocupado, desatento, olvidadizo, descuidado, imprevisor, abandonado.
C. El ingeniero quedó absorto al ver el daño ocasionado a su auto."
ABSTEMIO,m.,"Que no bebe vino ni otros licores alcohólicos.
S. sobrio, frugal, continente, templado, parco, sereno.
A. beodo, chispo, cuba, ebrio, desenfrenado, disoluto, libertino, licencioso, crápula.
C. El abstemio apenas aceptó un pequeño sorbo en su copa para el brindis."
ABSTERGER,v.,"Limpiar y purificar de materias viscosas, sórdidas o pútridas las superficies orgánicas.
S. Lavar, acendrar, cibar, regar, desinfectar
A. Ensuciar, desaliñar, deslucir, desdorar, deslustrar, estropear, enmugrecer.
C. Julián estaba a punto de absterger la superficie mohosa de la cocina cuando llegó su mujer."
ABSTRUSO,adj.,"Recóndito, de difícil comprensión o inteligencia.
S. Incomprensible, difícil, ininteligible, impenetrable, oculto, esotérico.
A. Evidente, claro, obvio, patente, comprensible, legible, inteligible, asequible, accesible.
C. Lo abstruso del tema lo hacía incomprensible al público."
ABUCHEAR,v.,"Sisear, reprobar con murmullos, ruidos o gritos. Se usa especialmente refiriéndose a un auditorio o muchedumbre.
S. Sesaprobar, hostigar, reprobar, silbar, hostigar, pifiar, ahuchear.
A. Aprobar, vitorear, palmear, alabar, ensalzar, aplaudir, loar, palmotear.
C. Debido a lo malo del espectáculo, a la multitud indignada se le dio por abuchear a los pésimos actores."
ABÚLICO,adj.,"Que padece abulia / Falta de voluntad, o disminución notable de su energía.
S. Apático, impasible, indiferente, insensible, perezoso, indolente, gandul, haragán, flojo, negligente, impotente.
A. Activo, diligente, solícito, presto, acucioso, comedido.
C. El carácter abúlico de su persona lo hacía merecedor del alias “el vago”."
ABURAR,v.,"Quemar, abrasar. / Producir escozor a causa de la picadura de hormigas, avispas o abejas.
S. Chamuscar, achicharrar, calentar, carbonizar, tostar, escocer .
A. Enfriar, refrigerar, congelar, calmar, apaciguar, entibiar.
C. El humo que invadió la vecindad se debió a que algunos vecinos optaron por aburar las yerbas cuando aún no estaban secas."
ABYECTO,adj.,"Despreciable, vil en extremo. / Humillado, abatido.
S. Bajo, vil, despreciable, soez, indigno, depravado, ignominioso, infame.
A. Munífico, magnánimo, espléndido, noble, digno, ilustre, insigne, alto.
C. Solo un soldado abyecto traicionaría a su patria."
ACAECER,v.,"Suceder (efectuarse un hecho).
S. Ocurrir, resultar, acontecer, sobrevenir, empezar, transcurrir.
A. Impedirse, frenarse, paralizarse, reprimirse, entorpecerse, empantanarse.
C. ¿Por qué tuvo que acaecer tan penosa tragedia en plena reunión familiar?
(2) acaecimiento (cosa que sucede)"
ACANALAR,v.,"Hacer en algo una o varias canales / Dar a algo forma de canal.
S. Rayar, surcar, marcar, hender, cruzar, enfilar.
C. Los campesinos se vieron obligados a acanalar la chacra para que así el agua. circulara más efectivamente."
ACÁPITE,m.,"Párrafo. / Título, capítulo, epígrafe. / Texto breve, posterior al título, que aclara el contenido del artículo que encabeza.
S. Parágrafo, punto, contenido, aparte, apartado, división, sección, rótulo, letrero, lema.
C. En un breve acápite se puede apreciar la idea principal del texto"
ACARREAR,v.,"Transportar en carro. / Transportar de cualquier manera. / Ocasionar, producir, traer consigo daños o desgracias.
S. Llevar, conducir, arrastrar, traer, trasladar, transbordar, empujar, encaminar.
A. Impedir, bloquear, paralizar, reprimir, refrenar, tropezar, imposibilitar.
C. Esa mala actitud te puede acarrear muchos problemas."
ACATAR,v.,"Tributar homenaje de sumisión y respeto. / Aceptar con sumisión una autoridad o unas normas legales, una orden, etc. 
S. Obedecer, respetar, someterse, cumplir, doblegarse, reverenciar, considerar.
A. Desobedecer, transgredir, infringir, quebrantar, faltar, incumplir, contravenir.
C. El batallón no quiso acatar las órdenes del capitán."
ACAUDALAR,v.,"Hacer o reunir caudal (Hacienda, bienes de cualquier especie, y más comúnmente dinero).
S. Acumular, atesorar, enriquecer, reunir, allegar, capitalizar.
A. Dispersar, desperdigar, diseminar, desparramar, extender, disgregar.
C. El obrero pudo acaudalar una enorme fortuna a base de esfuerzo y sacrificio."
ACCÉSIT,m.,"En certámenes científicos, literarios o artísticos, recompensa inferior inmediata al premio.
S. Premio, galardón, honor, compensación, diploma, gratificación, distinción, prima.
A. Castigo, punición, sanción, escarmiento, condena, correctivo, multa.
C. El segundo puesto se hizo acreedor de un accésit honroso."
ACECHAR,v.,"Observar, aguardar cautelosamente con algún propósito.
S. Espiar, vigilar, aguaitar, apostarse, avizorar, avistar, aguardar, espera
A. Desentender, ignorar, omitir, prescindir, exceptuar.
H. Asechar (realizar engaños para dañar a alguien)
C. El depredador estaba listo para acechar a su presa."
ACECINAR,v.,"Salar las carnes y ponerlas al humo y al aire para que, enjutas, se conserven. / Quedarse muy enjuto de carnes.
S. Salar, secar, curar, conservar 
A. Aguar, mojar, humedecer, empapar.
H. Asesinar (matar con premeditación)
C. Para que la carne dure más tiempo deben acecinar un gran trozo."
ACÉMILA,f.,"Mula o macho de carga. / Cierto tributo que se pagaba antiguamente. / Persona ruda.
S. Asno, mulo, mula, cuadrúpedo, caballería, torpe, tosco.
A. Cortés, caballero, elegante, refinado, educado.
C. Llevaron todo el equipo sobre el lomo de una mansa acémila."
ACENDRAR,v.,"Depurar, purificar en la cendra (pasta de ceniza de huesos, limpia y lavada, con que se preparan las copelas para afinar el oro y la plata) los metales preciosos por la acción del fuego. / Dejar sin mancha ni defecto.
S. Depurar, limpiar, purificar, acrisolar, pulimentar, cendrar.
A. Ensuciar, mancillar, deslucir, ajar.
C. El orfebre se encarga de acendrar el oro para hacerlo más valioso."
ACEPCIÓN,f.,"Cada uno de los significados de una palabra según los contextos en que aparece. 
S. Significado, sentido, significación, concepto, alcance, extensión.
C. La acepción más empleada de las palabras suele ser la primera."
ACERBO,adj.,"Áspero al gusto. / Cruel, riguroso, desapacible.
S. Áspero, desagradable, odioso, amargo, agrio, acre, ácido, acedo.
A. Suave, dulce, gollería, liso, delicado.
C. Aún no se puede comer el acerbo fruto ya que le falta mucho para madurar."
ACERVO,m.,"Montón de cosas menudas, como trigo, cebada, legumbres, etc. / Bien, caudal, hacienda que pertenece en común a varias personas. / Conjunto de bienes morales o culturales acumulados por tradición o herencia.
S. Cúmulo, conjunto, acumulación, masa, acopio, aglomeración.
A. Dispersión, difusión, desparramo, propagación
H. Acervo (montón de cosas)
C. El acervo cultural lo componen nuestras tradiciones."
ACERTIJO,m.,"Enigma o adivinanza que se propone como pasatiempo. / Cosa o afirmación muy problemática.
S. Secreto, misterio, entresijo, adivinanza, charada, jeroglífico, logogrifo, rompecabezas, arcano, incógnita, sigilo, cifra, confidencia.
A. Popular, célebre, sonado, divulgado, difundido, extendido, famoso, noto, conocido, exotérico.
C. Solo un hombre astuto podrá resolver el acertijo."
ACÉTICO,adj.,"Perteneciente o relativo al vinagre o sus derivados.
S. Ácido, agrio, acerbo, amargo, cáustico.
A. Dulce, edulcorado, confitado.
H. ascético (austero, sobrio, moderado)
C. Se solicitó un grupo de líquidos de compuesto acético."
ACEZAR,v.,"Jadear. / Sentir anhelo, deseo vehemente o codicia de algo.
S. Jadear, resoplar, incitar, instigar, mover, motivar, anhelar, ansiar.
A. Desanimar, descorazonar, desalentar, abatir, desmoralizar.
H. Asesar (hacer que alguien adquiera seso o cordura. / adquirir seso o cordura)
C. No dejaba de acezar tras correr toda la noche sin descanso."
ACHACOSO,adj.,"Que padece achaque, enfermedad o defecto, especialmente a causa de edad avanzada.
S. Enfermizo, enclenque, delicado, débil, enfermo, doliente.
A. Saludable, sano, robusto, enérgico, resistente, lozano, brioso.
C. A los noventa y ocho años ya es un anciano achacoso."
ACHAPARRADO,adj.,"Dicho de una cosa: Baja y extendida. / Dicho de una persona: Gruesa y de poca estatura.
S. Rechoncho, regordete, repolludo, bajo, chaparro, gordinflón, gordinflas, rollizo, orondo.
A. Alto, esbelto, gallardo, fino, elegante.
C. Es un achaparrado estibador empequeñecido por el peso diario en su trabajo pero tan musculoso como un toro."
ACHICORIA,f.,"Planta de la familia de las Compuestas, de hojas recortadas, ásperas y comestibles, así crudas como cocidas. La infusión de la amarga o silvestre se usa como remedio tónico aperitivo. / Bebida que se hace por la infusión de la raíz tostada de esta planta y se utiliza como substituto del café.
S. Café, mezcla, bebedizo.
C. Las hojas de achicoria, muy ricas en caroteno o provitamina A y en vitamina C, contienen numerosas sales minerales."
ACHIGUARSE,v.,"Dicho de una cosa: combarse. (torcerse)
S. Arquearse, encorvarse, curvarse, cimbrarse, acordarse, flexionarse.
A. Enderezarse, encauzarse, enhestarse, erguirse, alzarse, empinarse, erizarse.
C. El árbol terminará por achiguarse si no se le corrige con un palo enderezador."
ACHÍN,m.,"Achinero (vendedor ambulante de objetos de poco valor) /  Baratija.
S. Cachinero, minorista, baratero,  perista.
C. Las baratijas rematadas por el achín no eran más que trivialidades."
ACHUCUYAR,v.,"Abatir, acoquinar.
S. Derribar, derrumbar, derrocar, enervar, cansar, amilanar, acobardar, amedrentar, acojonar, apocar, achicar.
A. Envalentonar, animar, entusiasmar, esforzar, bravear, guapear, fanfarronear, motivar, vivificar, reactivar.
C. La historia de terror narrada en clase terminó por achucuyar a todos los alumnos."
ACHUCHARRAR,v.,"achuchar (aplastar, estrujar). /  Arrugar, encoger, amilanar. 
S. Comprimir, constreñir, presionar, estrechar, condensar, abrazar.
A. Alisar, asedar, liberar, recobrar, redimir, aflojar.
C. El viajero se vio obligado a achucharrar los papeles para que encajaran en su pequeño maletín."
ACIAGO,adj.,"adj. Infausto, infeliz, desgraciado, de mal agüero. / Azar, desgracia.
S. Infausto, funesto, nefasto, adverso, azaroso, fatídico, fatal.
A. Fausto, feliz, radiante, probo, bueno, fasto, lujo.
C. Fue un tiempo aciago para el agricultor mientras duró la sequía."
ACIBARAR,v.,"Turbar el ánimo con algún pesar o desazón. 
S. Amargar, abatir, afligir, atormentar, desconsolar, apesadumbrar.
A. Alegrar, deleitar, animar, agradar, complacer, contentar, satisfacer.
C. La mala noticia logró acibarar el ánimo de todos los presentes."
ACICALADO,adj.,"Extremadamente pulcro, limpio.
S. peripuesto, adornado ataviado, emperifollado, maquillado, aderezado.
A. Deslucido, deslustrado, decolorado.
C. El militar viste durante la ceremonia el más acicalado de los uniformes."
ACICATE,m.,"Punta aguda de que iban provistas las espuelas para montar a la jineta, con un tope para que no penetrase demasiado. / Incentivo.
S. Aguijón, espolón, espigón, garrón, púa, prominencia, incitación, cebo, aliciente, estímulo.
A. Desgana,  indiferencia, displicencia.
C. El aumento del sueldo fue un buen acicate para mejorar el empeño docente en las aulas."
ACOGOTAR,v.,"Matar con una herida o golpe dado en el cogote. / Acoquinar, dominar, vencer. / Derribar o vencer a alguien sujetándolo por el cogote.
S. Vencer, dominar, sujetar, someter, oprimir, dañar, herir, matar, aniquilar, asesinar, ultimar, abatir, desbaratar, precipitar, tumbar.
A. Liberar, soltar, librar, redimir, independizar, emancipar, desvincular.
C. Era claro que el asesino se vio obligado a acogotar a su víctima pues esta lo reconoció."
ACÓLITO,m.,"En la Iglesia católica, seglar que ha recibido el segundo de los dos ministerios establecidos por ella y cuyo oficio es servir al altar y administrar la eucaristía como ministro extraordinario. / Monaguillo que sirve al altar en la iglesia aun sin haber recibido el ministerio del acolitado. / satélite (persona que depende de otra). 
S. Asistente, ayudante, sacristán, monaguillo, clérigo, acompañante, lego, misario. obispillo, camilo, rapavelas, monago.
C. Durante la misa el acólito sostenía la patena con las hostias."
ACOLLONAR,v.,"Acobardar.
S. Amedrentar, intimidar, apocar, espantar, azuzar, amilanar, achicar, atemorizar. 
A. Envalentonar, animar, entusiasmar, enfervorizar, guapear, bravear, fanfarronear.
C. Los violentos disparos lograron acollonar hasta al más valiente."
ACOMEDIRSE,v.,"Prestarse a hacer un servicio.
S. Acomedir, prestar, preocuparse, darse, entregarse.
A. Desentenderse, omitirse, desatender, desairar, repudiar.
C. Alumnos y docentes están prestos a acomedirse en beneficio de la institución."
ACOMETER,v.,"Embestir con ímpetu y ardimiento. / Dicho de una enfermedad, del sueño, de un deseo, etc.: Venir, entrar, dar repentinamente. / Emprender, intentar. / Decidirse a una acción o empezar a ejecutarla. 
S. Arremeter, asaltar, agredir, irrumpir, embestir, atacar, lanzarse, abordar, abalanzarse.
A. Detenerse, reprimirse, inhibirse, prohibirse, vedarse, guardarse, inhabilitarse.
C. El batallón debe acometer contra el enemigo."
ACONGOJAR,v.,"Entristecer, afligir. / Causar inquietud, preocupación o temor. 
S. Apenar,  acorar, apesadumbrar, abrumar, angustiar, consternar, abatir.
A. Alegrar, deleitar, entusiasmar, animar, exultar, encantar, placer.
C. La muerte de los niños terminó por acongojar a toda la familia."
ACORAR,v.,"Afligir, acongojar. / Rematar, descabellar, atronar. / Enfermar, desmedrarse las plantas por algún accidente atmosférico.
S. Entristecer, indisponer, enfermar, apesadumbrar, abrumar, angustiar, consternar, abatir.
A. Contentar, agradar, sanar, restablecer.
C. Se va a acorar todo el sembrío a causa de la sequía."
ACORDE,adj.,"Conforme, concorde y de un dictamen. / Conforme, igual y correspondiente; con armonía, en consonancia. 
S. Conforme, paralelo, afín, símil., igualdad, coherente, armónico, consonante, conteste, unánime, sosia.
A. Desigual, disímil, otro, heterogéneo, diferencial, incompatible, desemejante, desacorde.
C. Una opinión acorde con respecto al tema por parte de su rival terminó con la discusión."
ACORDEÓN,m.,"Instrumento musical de viento, formado por un fuelle cuyos dos extremos se cierran por sendas cajas, especie de estuches, en los que juegan cierto número de llaves o teclas, proporcionado al de los sonidos que emite. / Apunte para usarlo disimuladamente en los exámenes.
S. Bandoneón, concertina, organillo, acordeona.
C. Es un concepto que, como un acordeón, se encoge o se estira."
